timestamp,active_workers
2025-05-17T15:40:14.972436,1
2025-05-17T15:40:15.980036,1
2025-05-17T15:40:16.987813,1
2025-05-17T15:40:17.995857,1
2025-05-17T15:40:19.002776,1
2025-05-17T15:40:20.010384,1
2025-05-17T15:40:21.017185,1
2025-05-17T15:40:22.023792,1
2025-05-17T15:40:23.030887,1
2025-05-17T15:40:24.037075,1
2025-05-17T15:40:25.043372,1
2025-05-17T15:40:26.049926,1
2025-05-17T15:40:27.056168,1
2025-05-17T15:40:28.115426,1
2025-05-17T15:40:29.628854,14
2025-05-17T15:40:30.677638,14
2025-05-17T15:40:33.019157,20
2025-05-17T15:40:34.155550,20
2025-05-17T15:40:37.334108,20
2025-05-17T15:40:38.611687,20
2025-05-17T15:40:42.397260,20
2025-05-17T15:40:43.478193,20
2025-05-17T15:40:46.744711,20
2025-05-17T15:40:48.004493,20
2025-05-17T15:40:51.357401,20
2025-05-17T15:40:52.488654,20
2025-05-17T15:40:56.131556,20
2025-05-17T15:40:57.640114,20
2025-05-17T15:41:01.615614,20
2025-05-17T15:41:02.707867,20
2025-05-17T15:41:06.295612,20
2025-05-17T15:41:07.385038,20
2025-05-17T15:41:10.775147,20
2025-05-17T15:41:12.062050,20
2025-05-17T15:41:15.661246,20
2025-05-17T15:41:17.028516,20
2025-05-17T15:41:19.828067,20
2025-05-17T15:41:20.995659,20
2025-05-17T15:41:23.952741,20
2025-05-17T15:41:25.096947,20
2025-05-17T15:41:27.849647,20
2025-05-17T15:41:28.986972,20
2025-05-17T15:41:31.137100,20
2025-05-17T15:41:32.144204,20
2025-05-17T15:41:33.151702,1
2025-05-17T15:41:34.158053,1
2025-05-17T15:41:35.165135,1
2025-05-17T15:41:36.172673,1
2025-05-17T15:41:37.179438,1
2025-05-17T15:41:38.185621,1
